LAT,LON,ALT,Temp,Press,AltGPS,AltBar,SpdGps
49.7162083,14.0947121,444.918,15.25,96146.75,444.92,440.26,0.00
49.7162083,14.0947121,444.918,15.19,96138.75,444.92,440.96,0.00
49.7162209,14.0947355,444.355,15.19,96138.75,444.36,440.96,0.00
49.7162209,14.0947355,444.355,15.19,96136.75,444.36,441.13,0.00
49.7161983,14.0947928,440.076,15.19,96136.75,440.08,441.13,0.00
49.7161983,14.0947928,440.076,15.19,96138.75,440.08,440.96,0.00
49.7162052,14.0948129,439.741,15.19,96138.75,439.74,440.96,0.00
49.7162097,14.0948256,439.501,15.19,96136.50,439.50,441.15,0.00
49.7162097,14.0948256,439.501,15.19,96136.50,439.50,441.15,0.00
49.7161985,14.0948703,439.44,15.25,96138.25,439.44,441.00,0.00
49.7161985,14.0948703,439.44,15.25,96138.25,439.44,441.00,0.00
49.7161966,14.0948786,439.269,15.25,96138.25,439.27,441.00,0.00
49.7161966,14.0948786,439.269,15.25,96138.25,439.27,441.00,0.00
49.7161962,14.094889,438.92,15.25,96134.00,438.92,441.37,0.00
49.7161962,14.094889,438.92,15.25,96128.75,438.92,441.82,0.00
49.7161636,14.0948881,440.481,15.25,96128.75,440.48,441.82,0.00
49.7161636,14.0948881,440.481,15.25,96138.25,440.48,441.00,0.00
49.7161611,14.0948939,440.362,15.25,96138.25,440.36,441.00,0.00
49.7161611,14.0948939,440.362,15.25,96138.00,440.36,441.02,0.00
49.7161542,14.0948877,440.209,15.25,96138.00,440.21,441.02,0.00
49.7161542,14.0948877,440.209,15.25,96136.75,440.21,441.13,0.00
49.7161675,14.0948488,439.605,15.25,96136.75,439.61,441.13,0.00
49.7161665,14.0948562,439.398,15.25,96134.50,439.40,441.32,0.00
49.7161665,14.0948562,439.398,15.25,96134.50,439.40,441.32,0.00
49.716166,14.094866,439.21,15.25,96140.50,439.21,440.80,0.00
49.716166,14.094866,439.21,15.25,96140.50,439.21,440.80,0.00
49.7161757,14.0948188,440.21,15.25,96138.25,440.21,441.00,0.00
49.7161757,14.0948188,440.21,15.25,96138.25,440.21,441.00,0.00
49.7161758,14.0948179,440.105,15.31,96138.00,440.11,441.02,0.00
49.7161758,14.0948179,440.105,15.31,96138.00,440.11,441.02,0.00
49.7161742,14.0948107,440.071,15.31,96138.25,440.07,441.00,0.00
49.7161742,14.0948107,440.071,15.31,96136.25,440.07,441.17,0.00
49.7161443,14.0948319,439.59,15.31,96136.25,439.59,441.17,0.00
49.7161443,14.0948319,439.59,15.31,96136.00,439.59,441.19,0.00
49.7161413,14.0948286,439.592,15.31,96136.00,439.59,441.19,0.00
49.7161413,14.0948286,439.592,15.31,96138.50,439.59,440.98,0.00
49.7161383,14.094825,439.582,15.31,96138.50,439.58,440.98,0.00
49.7161383,14.094825,439.582,15.31,96138.00,439.58,441.02,0.00
49.7160617,14.094887,441.206,15.31,96138.00,441.21,441.02,0.00
49.7160554,14.0948892,441.277,15.31,96136.25,441.28,441.17,0.00
49.7160554,14.0948892,441.277,15.31,96136.25,441.28,441.17,0.00
49.7160466,14.0948829,441.356,15.31,96138.25,441.36,441.00,0.00
49.7160466,14.0948829,441.356,15.31,96138.25,441.36,441.00,0.00
49.7160276,14.0949298,441.57,15.31,96136.50,441.57,441.15,0.00
49.7160276,14.0949298,441.57,15.31,96136.50,441.57,441.15,0.00
49.7160207,14.0949301,441.684,15.31,96140.50,441.68,440.80,0.00
49.7160207,14.0949301,441.684,15.31,96140.50,441.68,440.80,0.00
49.7160139,14.0949309,442.071,15.31,96136.00,442.07,441.19,0.00
49.7160139,14.0949309,442.071,15.31,96136.00,442.07,441.19,0.00
49.7160011,14.0949474,446.264,15.31,96136.50,446.26,441.15,0.00
49.7160011,14.0949474,446.264,15.31,96134.75,446.26,441.30,0.00
49.7159932,14.094947,446.376,15.31,96134.75,446.38,441.30,0.00
49.7159932,14.094947,446.376,15.38,96136.00,446.38,441.19,0.00
49.7159852,14.094946,446.464,15.38,96136.00,446.46,441.19,0.00
49.7160037,14.0949777,445.788,15.38,96138.25,445.79,441.00,0.00
49.7160037,14.0949777,445.788,15.38,96138.25,445.79,441.00,0.00
49.7159962,14.0949796,445.86,15.38,96142.25,445.86,440.65,0.00
49.7159962,14.0949796,445.86,15.38,96142.25,445.86,440.65,0.00
49.7159861,14.0949699,445.992,15.38,96138.75,445.99,440.96,0.00
49.7159861,14.0949699,445.992,15.38,96138.75,445.99,440.96,0.00
49.7159989,14.094952,445.777,15.38,96136.00,445.78,441.19,0.00
49.7159989,14.094952,445.777,15.38,96136.00,445.78,441.19,0.00
49.715993,14.0949488,445.856,15.38,96138.00,445.86,441.02,0.00
49.715993,14.0949488,445.856,15.38,96138.00,445.86,441.02,0.00
49.7159866,14.0949437,445.971,15.38,96138.25,445.97,441.00,0.00
49.7159866,14.0949437,445.971,15.38,96138.25,445.97,441.00,0.00
49.7159708,14.0949542,443.337,15.38,96140.00,443.34,440.85,0.00
49.7159708,14.0949542,443.337,15.38,96140.00,443.34,440.85,0.00
49.715969,14.0949574,443.347,15.38,96136.75,443.35,441.13,0.00
49.715969,14.0949574,443.347,15.38,96140.00,443.35,440.85,0.00
49.7159653,14.094957,443.431,15.38,96140.00,443.43,440.85,0.00
49.7159653,14.094957,443.431,15.44,96142.25,443.43,440.65,0.00
49.7159973,14.0949611,440.441,15.44,96142.25,440.44,440.65,0.00
49.7160007,14.0949684,440.437,15.44,96140.50,440.44,440.80,0.00
49.7160007,14.0949684,440.437,15.44,96140.50,440.44,440.80,0.00
49.7160033,14.0949738,440.475,15.44,96140.50,440.48,440.80,0.00
49.7160033,14.0949738,440.475,15.44,96140.50,440.48,440.80,0.00
49.7161004,14.0949725,442.286,15.44,96142.50,442.29,440.63,0.00
49.7161004,14.0949725,442.286,15.44,96142.50,442.29,440.63,0.00
49.7161105,14.0949866,442.352,15.44,96136.75,442.35,441.13,0.00
49.7161105,14.0949866,442.352,15.44,96136.75,442.35,441.13,0.00
49.7161212,14.0950034,442.43,15.44,96140.00,442.43,440.85,0.00
49.7161212,14.0950034,442.43,15.44,96140.00,442.43,440.85,0.00
49.7161262,14.0950215,443.204,15.44,96146.25,443.20,440.30,0.00
49.7161262,14.0950215,443.204,15.44,96146.25,443.20,440.30,0.00
49.7161519,14.0950379,443.389,15.44,96146.00,443.39,440.33,0.00
49.7161519,14.0950379,443.389,15.44,96144.75,443.39,440.43,0.00
49.7161716,14.0950599,443.605,15.44,96144.75,443.61,440.43,0.00
49.7162125,14.0950742,445.304,15.44,96140.75,445.30,440.78,0.00
49.7162125,14.0950742,445.304,15.44,96140.75,445.30,440.78,0.00
49.7162411,14.0951023,445.08,15.44,96142.50,445.08,440.63,0.00
49.7162411,14.0951023,445.08,15.44,96142.50,445.08,440.63,0.00
49.7162614,14.0951354,445.869,15.44,96142.75,445.87,440.61,0.00
49.7162614,14.0951354,445.869,15.44,96142.75,445.87,440.61,0.00
49.7162763,14.095203,445.337,15.44,96142.00,445.34,440.67,0.00
49.7162763,14.095203,445.337,15.44,96142.00,445.34,440.67,0.00
49.7163077,14.0952334,445.623,15.50,96142.50,445.62,440.63,0.00
49.7163077,14.0952334,445.623,15.50,96142.50,445.62,440.63,0.00
49.7163388,14.0952572,445.896,15.50,96144.25,445.90,440.48,0.00
49.7163388,14.0952572,445.896,15.50,96144.25,445.90,440.48,0.00
49.7163815,14.0952683,447.509,15.50,96140.50,447.51,440.80,0.00
49.7163815,14.0952683,447.509,15.50,96140.50,447.51,440.80,0.00
49.7163939,14.0953069,448.321,15.50,96140.00,448.32,440.85,0.00
49.7163939,14.0953069,448.321,15.50,96140.00,448.32,440.85,0.00
49.7164261,14.095348,448.263,15.50,96136.00,448.26,441.19,0.00
49.7164633,14.095395,447.815,15.50,96142.25,447.81,440.65,0.00
49.7164633,14.095395,447.815,15.50,96142.25,447.81,440.65,0.00
49.7164938,14.0954262,448.255,15.50,96138.75,448.25,440.96,0.00
49.7164938,14.0954262,448.255,15.50,96138.75,448.25,440.96,0.00
49.7165199,14.0954693,448.625,15.50,96140.00,448.62,440.85,0.00
49.7165199,14.0954693,448.625,15.50,96140.00,448.62,440.85,0.00
49.7165173,14.0955334,445.036,15.50,96140.50,445.04,440.80,0.00
