  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 49.7161  14.0949  980.322    1  3.6946E-02  6.1576E-04
 49.7161  14.0950  980.376    2  3.6935E-02  1.2313E-03
 49.7167  14.0957  980.376    3  3.6935E-02  1.8469E-03
 49.7175  14.0959  980.305    4  3.6950E-02  2.4628E-03
 49.7184  14.0960  980.448    5  3.6921E-02  3.0781E-03
 49.7190  14.0975  980.663    6  3.6878E-02  3.6927E-03
 49.7198  14.0986  980.878    7  3.6836E-02  4.3067E-03
 49.7199  14.0985  981.379    8  3.6735E-02  4.9189E-03
 49.7152  14.0920  977.626    9  3.7490E-02  5.5438E-03
 49.7102  14.0850  966.398   10  3.9840E-02  6.2077E-03
 49.7015  14.0757  947.799   11  4.4057E-02  6.9420E-03
 49.6935  14.0710  933.451   12  4.7611E-02  7.7355E-03
 49.6895  14.0687  926.305   13  4.9486E-02  8.5603E-03
 49.6785  14.0642  907.059   14  5.4719E-02  9.4723E-03
 49.6722  14.0618  895.678   15  5.8037E-02  1.0440E-02
 49.6631  14.0651  880.793   16  6.2783E-02  1.1486E-02
 49.6622  14.0831  865.273   17  6.8272E-02  1.2624E-02
 49.6688  14.0842  853.326   18  7.2915E-02  1.3839E-02
 49.6727  14.0752  839.207   19  7.8874E-02  1.5154E-02
 49.6744  14.0670  828.390   20  8.3853E-02  1.6551E-02
 49.6768  14.0569  816.777   21  8.9618E-02  1.8045E-02
 49.6820  14.0495  806.483   22  9.5087E-02  1.9630E-02
 49.6874  14.0440  796.706   23  1.0063E-01  2.1307E-02
 49.6960  14.0416  785.742   24  1.0728E-01  2.3095E-02
 49.7024  14.0514  775.160   25  1.1414E-01  2.4997E-02
 49.7033  14.0663  764.503   26  1.2151E-01  2.7022E-02
 49.6962  14.0845  751.352   27  1.3116E-01  2.9208E-02
 49.6884  14.0864  744.528   28  1.3654E-01  3.1484E-02
 49.6824  14.0803  734.583   29  1.4477E-01  3.3897E-02
 49.6812  14.0725  725.063   30  1.5312E-01  3.6449E-02
 49.6866  14.0705  716.210   31  1.6134E-01  3.9138E-02
 49.6953  14.0758  705.915   32  1.7164E-01  4.1999E-02
 49.7029  14.0839  697.497   33  1.8055E-01  4.5008E-02
 49.7096  14.0933  688.848   34  1.9024E-01  4.8179E-02
 49.7162  14.1064  680.343   35  2.0035E-01  5.1518E-02
 49.7240  14.1235  670.670   36  2.1262E-01  5.5061E-02
 49.7301  14.1356  664.411   37  2.2105E-01  5.8746E-02
 49.7386  14.1447  656.368   38  2.3248E-01  6.2620E-02
 49.7438  14.1439  648.580   39  2.4420E-01  6.6690E-02
 49.7442  14.1365  638.280   40  2.6083E-01  7.1038E-02
 49.7431  14.1322  630.594   41  2.7397E-01  7.5604E-02
 49.7388  14.1262  618.882   42  2.9578E-01  8.0533E-02
 49.7351  14.1223  613.098   43  3.0725E-01  8.5654E-02
 49.7329  14.1166  604.790   44  3.2271E-01  9.1033E-02
 49.7313  14.1119  598.850   45  3.3584E-01  9.6630E-02
 49.7289  14.1066  597.617   46  3.3863E-01  1.0227E-01
 49.7268  14.1018  597.796   47  3.3821E-01  1.0791E-01
 49.7251  14.0978  598.479   48  3.3664E-01  1.1352E-01
 49.7232  14.0924  598.707   49  3.3612E-01  1.1912E-01
 49.7210  14.0858  599.114   50  3.3518E-01  1.2471E-01
 49.7183  14.0815  598.934   51  3.3557E-01  1.3030E-01
 49.7132  14.0798  598.946   52  3.3551E-01  1.3589E-01
 49.7053  14.0827  599.126   53  3.3506E-01  1.4148E-01
 49.6950  14.0950  599.978   54  3.3308E-01  1.4703E-01
 49.6886  14.1116  600.867   55  3.3105E-01  1.5255E-01
 49.6873  14.1362  600.987   56  3.3077E-01  1.5806E-01
 49.6920  14.1543  601.168   57  3.3040E-01  1.6357E-01
 49.7019  14.1665  600.674   58  3.3155E-01  1.6909E-01
 49.7080  14.1695  605.309   59  3.2144E-01  1.7445E-01
 49.7156  14.1757  616.720   60  2.9988E-01  1.7945E-01
 49.7241  14.1859  637.248   61  2.6248E-01  1.8382E-01
 49.7271  14.1809  670.368   62  2.1303E-01  1.8737E-01
 49.7249  14.1756  690.098   63  1.8884E-01  1.9052E-01
 49.7190  14.1656  724.867   64  1.5337E-01  1.9308E-01
 49.7135  14.1566  753.692   65  1.2939E-01  1.9523E-01
 49.7086  14.1488  775.293   66  1.1406E-01  1.9713E-01
 49.7039  14.1399  800.688   67  9.8345E-02  1.9877E-01
 49.7002  14.1283  828.515   68  8.3814E-02  2.0017E-01
 49.7020  14.1184  865.225   69  6.8314E-02  2.0131E-01
 49.7093  14.1269  895.412   70  5.8135E-02  2.0228E-01
 49.7155  14.1345  916.044   71  5.2284E-02  2.0315E-01
 49.7225  14.1322  935.139   72  4.7188E-02  2.0394E-01
 49.7271  14.1230  956.012   73  4.2149E-02  2.0464E-01
 49.7262  14.1140  969.162   74  3.9252E-02  2.0529E-01
 49.7227  14.1047  978.660   75  3.7282E-02  2.0591E-01
 49.7201  14.0988  981.433   76  3.6725E-02  2.0653E-01
 49.7190  14.0965  980.269   77  3.6957E-02  2.0714E-01
 GCR MODEL   4  TRANSPORT AND CUTOFFS: 0   SUPERPOSITION:   0
 DATE: 2026/06/14 HOUR:            8
 2.0714E-01 TOTAL          microSv, ICRP Pub. 103 EFFECTIVE DOSE 
